jahr,E_ein_GJ,E_ein_feld_GJ,E_aus_GJ,E_bedarf_GJ,eta_pct,eta_feld_pct,deckung_pct,T_foerder_C,E_deckgestein_GJ,r_front_m
1,3017.347,3324.493,406.9,6720.94,13.485,12.239,6.054,13.044,1100.325,54.851
2,3148.192,3319.181,753.182,6720.94,23.924,22.692,11.206,15.814,2290.15,66.186
3,3017.347,3306.292,922.172,6720.94,30.562,27.891,13.721,16.743,3506.194,76.831
4,3141.134,3306.45,923.2,6720.94,29.391,27.921,13.736,17.182,4762.493,83.77
5,3017.347,3280.54,1064.434,6720.94,35.277,32.447,15.838,17.777,6012.992,90.938
6,3159.228,3301.681,1070.464,6720.94,33.884,32.422,15.927,18.255,7295.932,96.842
7,3017.347,3292.569,1157.326,6720.94,38.356,35.15,17.22,18.453,8571.826,102.901
8,3137.888,3305.85,1195.159,6720.94,38.088,36.153,17.783,19.095,9876.911,107.549
9,3017.347,3281.073,1222.892,6720.94,40.529,37.271,18.195,18.935,11167.989,110.698
10,3092.135,3302.203,1303.529,6720.94,42.156,39.475,19.395,19.795,12491.356,115.499
11,3017.347,3294.043,1279.014,6720.94,42.389,38.828,19.03,19.366,13801.594,118.752
12,3043.251,3300.807,1403.027,6720.94,46.103,42.506,20.875,20.423,15140.027,122.048
13,3017.347,3275.211,1320.175,6720.94,43.753,40.308,19.643,19.709,16458.063,125.386
14,3017.347,3282.408,1495.126,6720.94,49.551,45.55,22.246,20.982,17804.855,128.768
15,3017.347,3279.703,1340.888,6720.94,44.439,40.884,19.951,19.966,19133.704,132.194
16,3017.347,3292.858,1332.901,6720.94,44.175,40.479,19.832,19.728,20490.447,133.924
17,3055.676,3272.355,1348.388,6720.94,44.127,41.205,20.062,20.138,21824.933,137.418
18,3017.347,3282.21,1368.018,6720.94,45.338,41.68,20.355,19.955,23188.484,139.181
19,3102.046,3282.612,1353.31,6720.94,43.626,41.227,20.136,20.297,24532.09,140.957
20,3017.347,3274.938,1397.132,6720.94,46.303,42.661,20.788,20.17,25903.195,144.542
21,3138.252,3279.173,1348.91,6720.94,42.983,41.136,20.07,20.355,27276.381,146.352
22,3017.347,3270.39,1423.361,6720.94,47.173,43.523,21.178,20.39,28627.496,148.173
23,3146.812,3291.742,1344.638,6720.94,42.73,40.849,20.007,20.423,30008.902,150.007
24,3017.347,3264.812,1448.537,6720.94,48.007,44.368,21.553,20.574,31365.228,151.853
25,3139.755,3287.52,1370.266,6720.94,43.642,41.681,20.388,20.629,32748.768,153.71
26,3017.347,3261.939,1472.632,6720.94,48.806,45.146,21.911,20.75,34108.688,155.58
27,3157.849,3292.579,1443.589,6720.94,45.714,43.844,21.479,21.069,35498.308,157.462
28,3017.347,3261.031,1495.465,6720.94,49.562,45.859,22.251,20.917,36861.965,159.356
29,3116.761,3284.188,1517.934,6720.94,48.702,46.219,22.585,21.481,38253.159,161.262
30,3017.347,3261.311,1482.708,6720.94,49.139,45.464,22.061,21.086,39619.817,161.262
