pruefgroesse,wert,einheit,ok_von,ok_bis,status,diagnose
v_Darcy max / v_erwartet,0.8498,-,0.0,10.0,OK,Plausibel (8.77 m/d gegen erwartete 10.32 m/d).
Brunnendruck / Thiem-Vorhersage,1.035,-,0.2,4.0,OK,Feld (1.86 kPa) und Handformel (1.80 kPa) passen zusammen.
Aquifervolumen ueber 50 GradC,0.004044,%,0.0,15.0,OK,Fahne bleibt lokal.
T_max - T_inj,6.025e-12,K,-50.0,0.05,OK,Kein Überschwinger.
Streuung T_Brunnen (Förderung),6.295,K,0.5,50.0,OK,Fördertemperatur wird berechnet.
T_min unter T_amb,3.056,K,0.0,1.0,WARNUNG,"Unterschwinger an der Wärmefront. Bis ~8 K ist das der bekannte Effekt der konsistenten Massenmatrix (tritt auf, solange dt < h²/(6a)) und energetisch belanglos — kein Modellfehler."
Deckgestein / Leitfront 2*sqrt(a*t),2.227,-,1.5,10.0,OK,Deckgestein 120 m > Front 54 m.
Fahnenreichweite / Modellrand,0.1613,-,0.0,0.6,OK,"Fahne 161 m, Rand 1000 m."
eta-Trend (2-Jahres-Mittel),1.283,pp,-2.0,2.0,OK,Eingeschwungen.
Filtereintrittsgeschw.,0.0007164,m/s,0.0,0.03,OK,"Weit unter dem Richtwert 0,03 m/s."
Dirichlet-Mehreintrag,8.085,%,0.0,30.0,OK,"Der Brunnen traegt etwas mehr ein als mdot*c_p*dT - normal, skaliert mit dem geklemmten Filtervolumen."
